digitSpanForward,digits,digitsReverse,digitSpanReverse,digitsReverseCorrAnswer,trialNumber,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,digitLoopPracticeBS.thisRepN,digitLoopPracticeBS.thisTrialN,digitLoopPracticeBS.thisN,digitLoopPracticeBS.thisIndex,trialsBS.thisRepN,trialsBS.thisTrialN,trialsBS.thisN,trialsBS.thisIndex,digitLoopBS.thisRepN,digitLoopBS.thisTrialN,digitLoopBS.thisN,digitLoopBS.thisIndex,thisRow.t,notes,GenInsText.started,movealong.started,movealong.keys,movealong.rt,Reminder1.started,movealong2.started,movealong2.keys,movealong2.rt,Reminder2.started,movealong3.started,movealong3.keys,movealong3.rt,FSGenInsText.started,startPractice.started,startPractice.keys,startPractice.rt,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,praccomplete.started,startFSreal.started,startFSreal.keys,startFSreal.rt,fixation.started,presentation_text.started,fixation.stopped,presentation_text.stopped,digitsForTrial,recall_txt.started,textbox.started,cont_button.started,mouse_3.started,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,feedback_text.started,feedback_text.stopped,roundTransition.started,moveToBS.started,moveToBS.keys,moveToBS.rt,BSGenInsText.started,startBSprac.started,startBSprac.keys,startBSprac.rt,fixation_3.started,pres_text_practice_2.started,fixation_3.stopped,pres_text_practice_2.stopped,recall_txtPractice_2.started,textboxPractice_2.started,cont_buttonPractice_2.started,mousePractice_2.started,textboxPractice_2.text,mousePractice_2.x,mousePractice_2.y,mousePractice_2.leftButton,mousePractice_2.midButton,mousePractice_2.rightButton,mousePractice_2.clicked_name,feedbac_textPractice_2.started,feedbac_textPractice_2.stopped,praccompleteBS.started,startBSreal.started,startBSreal.keys,startBSreal.rt,fixationBS.started,presentation_textBS.started,fixationBS.stopped,presentation_textBS.stopped,recall_txtBS.started,textboxBS.started,cont_buttonBS.started,mouseBS.started,textboxBS.text,mouseBS.x,mouseBS.y,mouseBS.leftButton,mouseBS.midButton,mouseBS.rightButton,mouseBS.clicked_name,feedback_textBS.started,feedback_textBS.stopped,ThankYou.started,ThankYou.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.982751208997797,17.982751208997797,return,1.124073375001899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1892659169971,19.1892659169971,return,0.01814633399771992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.221204624991515,19.221204624991515,return,0.12144454100052826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.37127495900495,19.37127495900495,return,7.291129792007268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
3,342,24,2,42,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.68925529200351,31.69048441700579,31.69048441700579,30.68925529200351,32.70545291699818,32.70545291699818,32.70545291699818,0.01639358399552293,789,0,0.0022222222222222222,-0.4011111111111111,1,0,0,cont_buttonPractice,36.12228262500139,37.12277874999563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
3,937,73,2,37,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.122476834003464,42.12221191699791,42.12221191699791,43.1231653750001,43.1231653750001,43.1231653750001,43.1231653750001,0.014652334008133039,789,0,0.0022222222222222222,-0.4011111111111111,1,0,0,cont_buttonPractice,46.472484792000614,47.47255762500572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.47255762500572,47.47255762500572,return,4.842389708006522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.34152425000502,53.34002995899937,53.3562912089983,54.339612750001834,"[1, 2, 7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,1,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.339612750001834,55.33971529199334,55.33971529199334,56.34054762500455,"[1, 2, 7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,1,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.34054762500455,57.34038108399545,57.34038108399545,58.33983574999729,"[1, 2, 7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,58.33983574999729,58.33983574999729,58.33983574999729,0.00875345800886862,6789,0.0022222222222222222,-0.4011111111111111,1,0,0,cont_button,60.48975525000424,61.49033454200253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,2,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.49033454200253,62.47329125000397,62.48983816699183,63.4734562090016,"[1, 3, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,2,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4734562090016,64.47418474999722,64.47418474999722,65.47344283400162,"[1, 3, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,2,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.47344283400162,66.47347966699454,66.47347966699454,67.47356949999812,"[1, 3, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,2,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,67.47356949999812,67.47356949999812,67.47356949999812,-0.0007373330008704215,5678,0.0022222222222222222,-0.4011111111111111,1,0,0,cont_button,70.14108645899978,71.1409547499934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,3,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1409547499934,72.12459412499447,72.14133337499516,73.12388324999483,"[9, 3, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,3,,,,,,,,,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.12388324999483,74.1416368749924,74.12398208399827,,"[9, 3, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,3,,,,,,,,,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.15722912500496,76.14175308399717,76.1582033339946,,"[9, 3, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,3,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,77.15841999999247,77.15841999999247,77.15841999999247,0.01614141699974425,6789,0.0022222222222222222,-0.4011111111111111,1,0,0,cont_button,79.10730424999201,80.10732650000136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,4,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.10732650000136,81.09074583399342,81.10780137499387,82.09068804199342,"[3, 8, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,4,,,,,,,,,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.09068804199342,83.09152474999428,83.09152474999428,84.09077920900017,"[3, 8, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,4,,,,,,,,,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.09077920900017,85.09083512499637,85.09083512499637,86.09093204200326,"[3, 8, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,4,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,86.09093204200326,86.09093204200326,86.09093204200326,-0.0004987090069334954,5678,-0.0044444444444444444,-0.4011111111111111,1,0,0,cont_button,88.07505183399189,89.0740474589984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,5,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0740474589984,90.05775862500013,90.07458254200174,91.05778754199855,"[4, 8, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,5,,,,,,,,,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.07441833399935,92.05846562499937,92.07532429200364,93.05826608400093,"[4, 8, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,5,,,,,,,,,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.05826608400093,94.05796870899212,94.05796870899212,95.05850508400181,"[4, 8, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,5,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,95.05850508400181,95.05850508400181,95.05850508400181,-0.00016570799925830215,56789,-0.008888888888888889,-0.4011111111111111,1,0,0,cont_button,96.4582269169914,97.45833512500394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,6,,,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.45833512500394,98.44161866699869,98.45867599999474,99.44152791699162,"[1, 6, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,6,,,,,,,,,0,5,5,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.44152791699162,100.44143416700535,100.44143416700535,101.44235412499984,"[1, 6, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,6,,,,,,,,,0,5,5,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.44235412499984,102.44246045900218,102.44246045900218,103.44158083399816,"[1, 6, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
,,,,,6,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,103.44158083399816,103.44158083399816,103.44158083399816,-0.0006059169973013923,5678,-0.008888888888888889,-0.4011111111111111,1,0,0,cont_button,106.30829754199658,107.30844954200438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-26_18h52.25.868,CGTriskyDMtask,2022.2.1,60.248041187566294,
